dmel	dsim
nompA	GD25914
pgc	GD11659
phr6-4	GD21692
Sema1b	GD25452
side	GD18079
smg	GD12947
vkg	GD11984
wun	GD10076
xmas-1	GD15695
fry	GD12903
ATPsynCF6	GD18388
ATPsynD	GD19270
Acer	GD23554
Alp4	GD21558
CaMKI	GD24788
Cdk4	GD11207
PTP-ER	GD25182
Lgr1	GD19184
H15	GD23340
Ipp	GD18939
Lectin-galC1	Lectin-galC1
NaPi-T	GD25654
Nlp	GD21493
Nurf-38	GD24942
ATPsynO	GD19002
Past1	GD18857
Pdp1	GD13032
Pitslre	GD14906
Prosalpha5	GD11263
Ptpa	GD23225
Rab4	GD11294
Reg-2	GD13525
RpL29	GD11583
sba	GD18343
Usp47	GD13897
angel	GD27693
dos	GD13693
fz2	GD12297
Stat92E	GD20060
nompB	GD21636
nompC	GD23336
Pino	GD22927
Dyrk2	GD22014
l(2)k10201	GD10652
stnB	GD17270
stnA	GD17269
spen	GD23007
snRNP-U1-70K	GD22521
smid	GD14011
sktl	GD25249
cag	GD15259
ari-1	GD27673
CG5989	GD12974
Nelf-E	GD12975
Ubc84D	GD19477
U2af38	GD22967
T3dh	GD25134
RpS3A	GD28493
Rga	GD19600
Rca1	GD23434
Prosalpha4T2	Pros28.1B
Pdk	GD10655
Ork1	GD16009
ND-75	GD27646
ND-23	GD20325
Mo25	GD12453
Mcm5	GD18709
Max	GD12293
RpL14	GD14108
Lk6	GD20638
klg	GD20989
COX5A	CoVa
Atu	GD19799
Dat	Dat
ATPsynB	GD14214
toy	GD24416
qm	GD14008
lok	GD24241
gcm2	GD23617
dj	dj
colt	GD22804
Surf4	GD20359
Ser8	GD15412
Ser7	GD28741
SamDC	GD23679
RpS20	GD19375
RpI1	GD25674
Rh6	GD19028
Cdk9	GD25120
Orct	GD21083
ND-42	GD20916
Mitofilin	GD18484
Khc-73	GD25614
Drice	GD21467
Gs1l	GD22707
mGluR	GD28322
Gcn2	GD21576
Ppox	GD18277
Cbl	GD14094
ATPsyngamma	GD17673
ATPCL	GD25577
14-3-3epsilon	GD15169
stet	GD26881
stck	GD18542
sfl	GD13961
Ran	GD24539
Ppa	GD25110
ppk	GD22009
pcm	GD27168
mspo	GD25664
mre11	GD23775
mst	GD17537
lush	Obp76a
loco	GD15086
lig	GD15363
laf	GD19646
ko	GD12144
stumps	GD18965
geko	GD14747
drongo	GD22938
dbe	GD22935
dom	GD11588
dve	GD11656
crol	GD22157
CG4050	GD25224
Rpt6	GD17527
TppII	GD25789
Tim17b2	GD24009
TM4SF	GD11804
Sr-CIII	Sr-CIII
Sp1	GD16964
Rfx	GD26833
Dredd	Dredd
pug	GD18702
Pdk1	GD13545
Gcn5	GD12710
Papss	GD14833
Nrk	GD10943
Nmt	GD13014
Mst89B	GD19085
asun	GD19084
JIL-1	GD12830
Idgf3	Idgf3
Idgf2	GD24057
Idgf1	Idgf1
GluRIIB	GD23353
Fak	GD25321
eRF3	GD23839
E23	GD22764
Dad	GD19135
CtBP	GD18873
emb	GD23540
CLIP-190	GD24107
Amyrel	Amyrel
Ag5r2	GD23705
Acp62F	Acp62F
Abi	GD20455
ade5	GD15919
pio	GD11878
kraken	GD23051
SA	GD23440
Rx	GD11547
Rack1	GD22465
RN-tre	GD25722
Pkn	GD10089
Pi3K21B	GD23016
Osbp	Osbp
Mcm7	GD14135
Lcp65Ae	GD14953
Lcp65Aa	GD13943
KrT95D	GD18329
Trxr-1	GD16889
ArfGAP1	GD12722
eIF4B	GD29430
Atet	GD23277
Alas	GD11815
Acp65Aa	GD13144
Spred	GD25657
CG7179	GD22470
Su(z)12	GD12239
Jon25Bi	GD22676
Scp2	GD20278
Rtc1	GD24814
RpL3	GD18739
Ptx1	GD21552
Dgkepsilon	GD10918
C901	GD16007
SerRS-m	GD19014
chb	GD14938
Nup154	GD23750
sdk	GD16523
scu	GD17383
org-1	GD16117
nudC	GD14666
mira	GD28341
Tapdelta	GD25906
Tor	GD23862
Reph	GD23257
Vps28	GD15294
cnk	GD15318
DCTN2-p50	GD10607
l(2)k14710	GD10328
l(2)k14505	GD24313
Xbp1	GD11567
Nle	GD22949
Zfrp8	GD11837
ytr	GD25007
RFeSP	GD22901
Coprox	GD23442
ND-PDSW	GD23234
l(2)k09913	GD11735
Rs1	GD10546
eIF3h	GD14929
Vps25	GD10582
l(2)k01209	GD11264
Nnp-1	GD22068
Vha36-1	GD11125
l(2)k05819	GD23283
Gpo-1	GD25593
Cse1	GD21894
ubl	GD10297
lolal	GD25412
l(2)09851	GD10383
dnk	GD19261
CG3760	GD28855
CG10340	GD20275
CG1910	anon-EST:fe1A3
Tsf1	GD24854
Pur-alpha	GD28136
Pka-R2	GD10033
D19B	GD13139
Cht2	GD13442
Adk1	GD12741
Ac13E	GD27717
Taf8	GD27320
HLH54F	GD11315
Sin3A	GD25829
Pp2C1	GD16280
Peritrophin-A	GD17481
Orc1	GD10243
Oat	GD12261
Hira	GD16853
Hel89B	GD19063
Cad96Ca	GD18227
Df31	GD21634
D19A	GD13138
CycH	GD15002
Cbp80	GD24743
Cbp20	GD19204
yps	GD12750
vimar	GD10283
rpk	GD19743
qkr58E-2	GD11668
qkr58E-1	GD25130
qkr54B	GD11271
melt	GD13996
CRMP	GD19795
Clk	GD13034
gek	GD24972
fray	GD19233
dtr	GD24320
dimm	GD24318
cyc	GD12247
btv	GD21850
bon	GD19361
aay	GD10671
a6	GD24632
Uba1	GD10057
SmD3	GD15400
AMPKalpha	GD16554
RpL39	GD24974
rnh1	GD28346
RhoGEF2	GD11240
Prosbeta2	GD14518
Prosalpha7	GD10046
Pp4-19C	GD15536
Pdf	GD18135
amon	GD18123
Orc6	GD10047
Orc4	GD24914
EloB	GD20055
eIF4G1	GD27708
edl	GD25369
Mnt	GD24741
Parg	GD16322
Dap160	GD21654
Chd3	Chd3
B4	GD22055
Acp32CD	Acp32CD
Ac3	GD24328
fus	GD25607
Rbcn-3A	GD16202
Taldo	GD11811
teq	GD14152
Pph13	GD23036
Lip3	GD20506
Lip1	GD22235
Es2	Es2
D2hgdh	GD16587
Ocrl	GD27106
mip130	GD24729
Rbcn-3B	GD24728
Edem1	GD16401
eIF2Bepsilon	GD24620
CG14803	GD16573
CG14805	GD16574
CG14814	GD24625
Pex5	GD24622
Pgam5	GD16411
trr	GD16408
mRpL16	GD16576
CG3857	GD16400
CG3587	GD16579
CG11596	GD16577
Or2a	GD28433
CG3078	EG:30B8.6
CG3191	GD28013
CG2865	GD16372
CG2924	GD16376
CG2918	GD16375
CG3740	GD24633
CG32809	GD29280
CG17778	GD28124
arg	GD16510
CG3156	GD16508
CG17896	GD16476
CG3630	GD16590
Cyp4d14	GD16387
Nmd3	GD13524
PIG-K	GD16397
Mct1	Mct1
FarO	GD27572
Ac78C	GD12142
zpg	GD13120
wit	GD13298
waw	GD17532
vig	GD21970
unc-4	GD26823
syd	GD13029
san	GD15393
sns	GD10605
sip1	GD23359
rasp	GD13731
robl	GD11269
IKKbeta	ird5
aurB	GD22216
Hs2st	GD21759
gprs	GD28389
gbb	GD11802
foi	GD14101
Fim	GD15680
drm	GD23242
dnt	GD21767
chico	GD22290
cato	GD25551
brk	GD16839
bbx	GD17533
WASp	GD18015
trio	GD13501
Srp54	GD23635
Sox100B	GD21559
Sirt1	GD23867
Spn43Ab	GD10271
Spn43Aa	GD10459
Plap	GD22922
Picot	GD25524
Nach	GD25525
Npc1a	GD22294
NK7.1	GD20427
Mkk4	GD20857
Mekk1	GD20154
MED6	GD28436
Stip1	Hop
MTPAP	GD28714
Tsp2A	GD24713
Naa30A	GD24712
CG11417	GD16551
CG12773	GD26854
CG11409	GD16427
E2f2	GD21651
Dlc90F	GD19225
Bin1	GD20305
Sec13	GD21013
dlt	GD13437
Neos	GD14001
flfl	GD18920
mEFTu1	GD10969
Dph5	GD18446
fws	GD21865
Cpsf160	GD25678
Slip1	GD22326
Drep1	GD10836
RpL10	GD12046
PRL-1	GD21928
Lip2	GD22234
Flo1	GD25610
DIP2	GD25718
Crk	GD14194
Clc	GD14863
AP-1mu	GD20786
stan	GD10750
Pcd	GD21455
p38b	GD23919
kin17	GD14878
Kap-alpha1	GD14829
b6	GD14477
Taf7	GD19957
agt	GD19534
Actbeta	GD29153
Ts	GD22790
Tnpo	GD28813
RSG7	GD15718
PIP82	GD16108
Oamb	GD20042
NitFhit	GD13552
NTPase	GD22791
Mat1	GD25961
Irp-1B	GD20721
Irp-1A	GD18433
GluClalpha	GD19310
CG2701	GD29391
CG2712	GD16619
Syx4	Syx4
CG4293	GD16474
CG3457	GD28632
CG11448	GD27635
CG3719	GD16424
ssx	GD16553
CG3777	GD16500
CG2658	GD24604
CG2662	GD16615
Csat	GD16360
CG2680	GD16358
eIF2Bbeta	GD16616
CG2681	EG:100G10.2
CG2685	GD16357
Bem46	GD12002
Ant2	GD16014
Acyp	Acyp
az2	GD10246
ari-2	GD11654
PHDP	GD25001
CG4585	GD25004
CG4882	GD25002
Thiolase	GD25003
SuUR	SuUR
Optix	GD10533
Ip259	GD23695
Fpps	GD25915
CG3795	GD27308
rush	GD27539
Rab27	GD27856
CG14780	GD24717
Mur2B	GD16418
Scgdelta	GD16416
CG14795	GD24634
inc	GD24718
Cyp6g1	GD15406
CycT	GD12396
CREG	GD20237
Bub3	GD17697
Bap60	GD15903
slv	GD10194
fidipidine	GD25553
bab2	GD13495
unc-119	GD29022
CG4101	GD14652
SF1	GD27729
PpN58A	GD25158
Pli	GD18346
Lcp9	GD27697
eIF3e	GD12442
IM2	GD11365
Gk1	GD13534
AkhR	GD22549
Faf2	GD21813
CG3062	GD16285
CG3081	GD16286
Torsin	GD16282
CG13359	GD16457
CG13360	GD16460
CG16989	GD28465
CG4025	GD16585
Sik2	GD24618
CG4281	GD24617
CG4194	GD24730
CG4199	GD24615
CG4045	GD16394
Rtca	GD16584
moody	GD26931
CG4313	GD16583
CG13366	GD16472
CG13367	GD16519
CG17829	GD16517
SkpA	GD16521
Hmt4-20	GD16466
CG13369	GD16516
DAAM	GD27915
CG32812	GD24711
CG3588	EG:100G7.6
CG14424	GD29037
CG3598	GD16625
CycK	GD21618
CkIIalpha-i3	GD13512
CaBP1	GD21912
Klf15	GD16275
cry	GD19278
CG3558	GD23198
scf	GD13605
CG3164	GD22988
MFS18	GD28063
Amnionless	GD22969
LKRSDH	GD22468
Lfg	GD25805
ZnT41F	GD10349
santa-maria	GD22494
CG5885	GD22325
Srpk79D	GD15024
CNT2	GD10625
CG13920	GD13635
Bap55	GD25481
Ate1	Ate1
beta'COP	GD23895
alphaCOP	GD28203
unc-13	unc-13
pon	GD16699
PlexB	GD24393
mtm	GD22607
mbt	GD17288
ind	GD12586
homer	GD22547
Cdc16	GD21010
TBPH	GD25005
Smox	GD24642
Sbf	GD20634
Rad9	GD27502
Rad17	GD20407
Paf-AHalpha	GD15777
Mgstl	GD17510
Mcm6	GD16811
JTBR	GD13436
I-t	GD18778
HDAC3	GD19615
CG6421	GD11227
IntS8	GD11223
Fen1	GD25512
CG8910	GD25510
CG17707	GD16489
RhoGAP1A	RhoGAP1A
CG17636	GD16490
CG2652	GD24606
ND-B14.5A	GD16591
Crag	Crag
Cortactin	GD20012
CalpB	GD14224
Meics	GD12643
wrapper	GD11663
Timp	GD20727
Inos	GD10256
Eph	GD24409
Top3beta	GD16199
Rlip	GD19391
OdsH	GD17364
Mhcl	GD20308
Mipp2	GD16214
Mipp1	GD12462
KP78b	GD20665
KP78a	GD20664
UBL3	GD24675
Gasp	GD19561
Nsun2	EG:EG0007.9
Tip60	EG:EG0007.7
tyf	GD16672
cib	GD16670
dgt4	EG:EG0007.10
Adar	GD29552
CG14818	GD16409
CG14817	GD16410
CG14812	GD24627
CkIIbeta2	CkIIbeta2
CDC45L	GD16439
CBP	GD27428
CG16833	GD23748
CG12253	GD23747
BCL7-like	BCL7-like
ApepP	GD21885
tna	GD14262
SkpB	GD25859
siz	GD14932
Rok	GD28097
prominin-like	GD13357
PH4alphaMP	GD17035
par-6	GD15678
nop5	GD22532
noe	GD29272
myo	GD27601
mei-P26	GD16934
mbo	GD20552
gus	GD16681
gukh	GD19266
eIF1A	GD19223
msk	GD14053
clumsy	GD24310
cav	cav
eIF5B	GD13328
bonsai	GD11682
bip2	GD15475
bip1	GD13025
antdh	GD15999
aft	GD11317
X11L	GD15674
Ugt35b	GD20682
Ugt35a	GD20681
Ubc10	GD25436
Tsc1	GD21066
Traf4	GD23279
Tom	GD14509
Tak1	Tak1
Taf10b	GD22805
Mad1	GD10086
45540	GD15296
Sara	GD11597
SRPK	GD11112
SAK	GD12112
RpL23A	GD13453
RpII33	GD23930
Rhp	GD17246
RhoGAPp190	GD17349
Rgl	GD12645
Rep	GD11461
Pten	GD22287
Prosbeta3	GD20828
Or59a	GD25047
Or47b	GD25913
Or47a	GD28154
Or46a	GD10719
Or43a	GD10268
Or33c	GD23797
Or33b	GD23796
Or33a	GD23795
Or43b	GD10213
Or24a	GD22719
Or23a	GD23167
Or22c	GD23130
Or85e	GD20859
Noa36	GD18027
NiPp1	GD25503
Ndg	GD10735
Dronc	GD14228
Mpcp2	GD14491
Lim1	Lim1
Idgf4	GD27876
Hus1-like	GD19652
Hsc70Cb	GD14475
Su(var)2-HP2	GD25670
HDAC6	HDAC6
Grip84	GD15576
Grip75	GD23710
Grip163	GD12755
Grip128	GD19578
Eaat2	GD22943
Eaat1	GD23596
ear	GD15160
Drp1	GD22819
Dek	GD11224
SPARC	GD18115
CG1979	GD19903
CG1315	GD19536
CG1307	GD19535
ADD1	GD10828
hang	GD17285
CG5991	GD21059
CG8677	GD24311
Hmg-2	GD11569
Fie	GD17625
CG5707	GD13405
Axn	Axn
Apc2	GD21072
Ady43A	GD10267
alpha-Man-IIb	GD19050
Taz	GD25815
tacc	GD19661
nes	GD12294
ldlCp	GD20356
MagR	GD17232
IntS4	GD19026
l(1)G0045	GD24752
l(1)G0007	GD17161
fu12	GD22398
fat-spondin	GD11244
drosha	GD10519
CG6171	GD20355
CG7857	GD12562
mRpL18	GD10917
Yippee	GD15888
XRCC1	GD16724
Ugt37b1	GD23396
Tehao	Tehao
Trap1	GD10320
Rad23	Rad23
Rad1	GD22822
Nhe1	GD22991
Thd1	GD24378
CG14777	GD27675
MED18	GD26825
CG13358	GD28311
CG11403	GD16432
CG4325	GD24619
STUB1	CHIP
CSN5	GD19103
CSN4	GD10529
CSN3	GD12156
CSN1b	GD12320
Eb1	GD10423
CG17322	GD24160
CG4302	GD25218
CG17324	GD24158
ValRS	GD10948
TyrRS	GD12469
ThrRS	GD23818
ProRS-m	GD13380
MetRS-m	GD20436
LysRS	GD16054
LeuRS-m	GD13863
IleRS	GD15025
HisRS	GD17398
GlyRS	GD14521
GlnRS	GD18218
CysRS	GD11166
ArgRS	GD24677
AlaRS	GD22412
Manf	GD19093
Dyrk3	GD24405
Inx7	GD16170
Inx6	GD24447
Inx2	GD16826
NPF	GD19113
miple1	GD11006
Kmn1	GD15985
l(1)G0196	GD24413
l(1)G0193	GD28487
Gmap	GD17214
l(1)G0156	GD15579
temp	GD16377
CCT6	GD17235
l(1)G0020	GD16096
l(1)G0004	GD17488
Rip11	GD28308
Kap-alpha3	GD20781
jim	GD12054
fz4	GD16161
fz3	GD16528
bgm	GD23948
Amph	GD10903
Tim9b	GD27069
Tim8	GD26915
Tim10	GD28083
Stam	GD23740
Six4	GD12161
RecQ5	GD12613
rha	GD21214
MRG15	GD20365
Dnz1	GD22217
D12	GD22400
Cdk5alpha	GD22277
wdb	GD18073
AdSS	GD20028
RpS10a	GD28196
Smyd4-4	GD10841
epsilonCOP	GD23412
Madm	GD19817
CG2061	GD17006
wde	GD25958
spd-2	GD12457
CG11970	GD18584
CG8878	GD15248
Rab3-GAP	GD22135
EDTP	GD25480
CG1344	GD10379
Tnks	GD18183
TBCD	GD23133
CG10254	GD18366
ana2	GD10133
CG1024	GD19547
CG7115	GD23491
Wdr24	GD17676
CG3679	GD17274
CG3909	GD18659
LTV1	GD25950
Ublcp1	GD27163
Osi6	GD19848
goe	GD15726
tapas	GD11509
CG7139	GD12077
botv	GD11429
Nup93-1	GD28869
beta4GalNAcTA	GD11035
lili	GD18269
CG2217	GD17134
CG4766	GD16222
CG1927	GD13420
nito	GD10528
CG7927	GD14052
CG6495	BcDNA:GH10711
CG10863	GD13308
NELF-B	GD29470
CG8042	GD13028
CG4928	GD17323
pgant3	GD10277
Tps1	GD23282
CG18659	GD10102
CG10345	GD20277
CG9631	GD20439
CG3149	GD16242
CG5498	GD12196
CG8108	GD14221
Cand1	GD22267
cert	GD13006
Nep2	GD19662
CG5009	GD11316
CG5815	GD21327
GABA-B-R2	GD18506
mino	GD21357
PCB	GD10044
CG6191	GD25748
CG6230	GD22193
CG7601	GD17678
CG4757	GD18733
CG8740	GD10598
CG5867	GD23877
CG7028	GD13533
GCS2alpha	GD10555
CG1688	GD10053
GstE12	GD24922
MED15	GD23029
drpr	GD13447
Kank	GD25644
CG17712	GD22896
cindr	GD21548
CG2790	GD29325
obst-B	GD23651
pdgy	GD15826
CG8611	GD17360
CG8230	GD10123
morgue	GD22710
Dic1	GD18902
LManII	GD23708
CG6404	GD12846
YT521-B	GD13329
CG5808	GD18268
eIF3j	GD10704
Acf	GD21605
Pfrx	GD28450
jdp	GD16969
htt	GD21379
glob1	GD20318
blot	GD12410
VhaSFD	GD21903
U26	GD22399
SMC2	GD25652
Prp18	GD20137
NP15.6	GD19265
Mtch	GD13550
Hey	GD10200
GV1	GD13652
O-fut2	GD24636
CG14787	GD16421
Lrpprc2	GD16422
CG14785	GD27043
Dp1	GD11380
Dgp-1	GD25410
CstF64	GD19237
CAH2	GD14364
CAH1	CAH1
Ogg1	GD16912
Tsp96F	GD18161
CG9776	GD19686
Nup107	Nup170
rdgBbeta	GD25449
Cpsf100	GD21403
Aac11	GD21866
CG12018	GD13645
NimB1	GD23942
MP1	GD19715
Akap200	GD23541
ppl	GD12129
msps	GD19072
msb1l	GD24228
MBD-like	GD18624
MTA1-like	GD19594
ric8a	GD16949
l(1)G0334	GD16702
l(1)G0320	GD16961
l(1)G0289	GD16040
l(1)G0255	GD28074
Ptpmeg2	GD16051
ATPsyndelta	GD24697
Ankle2	GD28485
Cdc7	GD16810
kirre	GD16630
kek3	GD24014
jbug	GD25106
isopeptidase-T-3	GD11475
Hug	GD18843
heix	GD21924
fan	GD14051
fal	GD14799
Decay	GD20281
cyp33	GD11288
chm	GD23471
CG17834	GD23555
Tob	GD12260
Taf10	GD23181
TMS1	GD14640
Syt4	GD19926
Sin	GD14927
Drep4	GD22074
Drep3	GD10838
Drep2	GD10649
Pk34A	GD23865
Nxt1	GD25012
Mst33A	GD22165
Lk	GD12616
Kap3	GD15994
GluRIID	GD20046
JhI-26	GD11182
JhI-21	GD22136
JhI-1	GD25997
Ilk	GD14943
I-2	GD28080
He	GD22024
Ercc1	GD11080
ECSIT	GD19834
CG11070	GD23424
rtet	GD19396
Nab2	GD18302
Non1	GD10078
CG4119	GD16738
Hrd3	GD18357
Usp1	GD21429
Mtpalpha	GD22351
CG17841	GD16974
CG4341	GD23061
bdl	GD23276
Ack	GD13814
f-cup	GD15107
CG31705	GD22167
CG2930	GD16659
CG6424	GD25448
CG30116	GD25388
CG3530	GD25052
CG7985	GD19213
Rich	GD12074
CG12182	GD13383
CG4455	GD29625
CG3793	GD24020
CenG1A	GD23935
CG9254	GD22053
EndoGI	GD24044
ZnT35C	GD21968
CG18480	GD24017
hll	GD23949
CG4891	GD24039
CG5888	GD21911
c(2)M	GD24050
CG18507	GD23913
mTTF	GD22012
CG15286	GD27405
CG7968	GD23934
CG7953	GD23933
CG7916	GD23932
Sec71	GD23923
CG31731	GD23921
CG9008	GD22046
TM9SF4	GD23917
NimB4	GD22025
NimB2	GD22027
ics	GD22052
Atf3	GD16430
gammaSnap1	GD24976
x16	GD22534
sut4	GD26006
sut3	GD10539
sut2	GD10538
sut1	GD10537
robl62A	GD13620
robl37BC	GD28617
robl22E	GD22844
qtc	GD14216
prc	GD12758
hfp	GD13472
phtf	GD10421
mei-217	GD15698
lqf	GD14024
qsm	GD25268
beat-Ic	GD24036
beat-Ib	GD21931
aralar1	GD17068
CG11902	GD21213
mRpL50	GD13081
Adat1	GD22044
VhaPPA1-1	GD20390
VhaM9.7-b	GD14971
VhaM9.7-c	GD13283
Vha16-3	GD14307
Vha16-2	GD14308
Vha100-3	GD25346
Vha100-2	GD20170
Vha100-1	GD21418
Sur	GD22301
spt4	GD10908
Rpt5	GD21035
Rpt4	GD29120
Rpt3	GD29510
Rpt1	GD29001
Rpn7	GD18456
Rpn6	GD25662
Rpn5	GD19821
Rpn9	GD18359
Rpn2	GD21420
Rpn12	GD14646
Rpn11	GD22663
Rpn1	GD14837
RpL15	GD11941
Rh50	Rh50
RfC38	GD22189
Nhe3	GD22553
Nckx30C	GD22341
Mt2	Mt2
Mst85C	GD18592
Lnk	GD21241
Fmr1	GD20735
eEF1beta	GD11225
ETH	GD24915
CG6362	GD25439
fab1	GD25438
Dhit	GD11319
CG5033	GD11318
CG18508	GD16342
Doc1	GD14149
Dak1	GD18150
CSN7	GD15374
CSN6	CSN6
CSN1a	GD23977
jhamt	GD29004
CG15283	GD22004
CG9014	GD22050
CG7311	GD23915
CG15260	GD21961
CG15262	GD24003
CG15263	GD24001
CG18063	GD24030
CG12448	GD24029
CG10839	GD24033
dao	GD23999
CG4587	GD21946
CG18420	GD21985
CG4701	GD23978
Cpr35B	GD22005
CG18095	GD22020
nAChRalpha5	GD23953
CG15269	GD23994
CG15270	GD23993
CG15256	GD24012
CG4892	GD24040
CG15279	GD21984
CG3491	GD23983
CG4168	GD21969
CG4161	GD24006
CG31819	GD24042
GMF	GD21923
CG17328	GD24049
CG4935	GD24045
CG31817	GD21918
CG18518	GD29503
CG18109	GD29563
Tektin-A	GD24023
CG13243	GD24021
CG3473	GD21999
CG33090	GD23959
CG16865	GD23925
CG8997	GD29123
NC2beta	GD23986
CG16863	GD23922
CG16890	GD22045
CG7653	GD21935
NimC2	GD23945
Cyp28a5	GD23944
CG16853	GD23910
CG16852	GD23909
CG15638	GD28028
Semp1	GD21950
CG7631	GD24016
Or35a	GD21947
CG11865	BG:BACR44L22.4
CG15253	GD21948
CG15254	GD21949
CG15255	GD21951
Kebab	GD23129
CG14478	GD11270
CG8788	GD10635
AlaRS-m	GD13880
Or49b	GD10923
A16	GD22091
gammaCOP	GD21583
deltaCOP	GD24626
betaggt-II	GD23193
xmas-2	GD15694
trbl	GD12194
tio	GD24341
tant	GD13925
Spt6	GD16791
Spn55B	GD11338
Spn88Ea	GD20378
Spn42Dd	GD10432
Spn27A	GD22555
sds22	GD19152
onecut	GD24376
nmdyn-D7	GD18638
nerfin-1	GD13584
miple2	GD11007
mab-21	GD16221
Smurf	GD11296
Dd	GD24432
icln	GD11295
hbs	GD11096
gom	GD11650
disp	GD19576
CS-2	GD15013
ced-6	GD10073
cathD	GD10217
asf1	GD14819
aru	GD22936
alpha-Catr	GD15454
Uba2	GD13019
Tollo	GD14532
Surf1	GD13981
Sucb	GD13190
Sras	GD13889
SoxN	GD23563
Debcl	GD10412
REG	GD17109
Prosbeta5	GD10758
Patsas	GD22129
NtR	GD11647
NHP2	GD12597
Mkrn1	GD12110
Menl-2	GD25538
Menl-1	GD25537
Men-b	GD21330
ssh	GD18249
Las	GD12187
slmo	GD22604
Hml	GD14459
TwdlT	GD27061
Fad2	DesatF
FKBP59	GD23632
Ext2	GD25567
eEF1gamma	GD21427
Crtp	GD11862
COQ7	GD16815
CHORD	GD21075
CHES-1-like	GD28207
Tsp42Ee	GD10444
Tsp42Ed	GD10280
Tsp42Ea	GD10441
Aos1	GD20565
312	GD13614
Or1a	GD16499
CG18273	GD16477
CG13365	GD16471
CG13362	GD16462
CG13361	GD16461
CG14635	GD16532
CG14631	GD24706
CG11381	GD16548
CG14770	GD16552
CG14778	GD27153
CG14797	GD24722
CG14798	GD24723
CG14806	GD16575
CG14054	GD24616
CG14053	GD16386
CG3091	GD16379
eIF3g1	GD24609
CG3592	GD16624
CG14420	GD16626
CG14421	GD24740
CG14422	GD29630
CG14423	GD29103
CG17959	GD16627
CG3603	GD16628
CG4116	GD16343
CG10793	GD28101
CG12535	GD16334
CG14269	GD16333
CG16782	GD16332
CG10801	GD16641
CG16781	GD16331
CG12206	GD16330
CG10804	GD16329
CG10802	GD16642
CG14270	GD16328
CG10803	GD16643
Gas8	GD16327
CG13021	GD16645
CG2875	GD11637
CG2901	GD16655
CG15239	GD16661
CG2938	GD16317
Vap33	GD16666
lva	GD16316
CG6428	GD17975
CG6414	GD29104
CG6379	GD16313
CG15571	GD16309
CG15570	GD16675
CG15576	GD29618
CG12691	GD28773
CG15572	GD16683
CG12692	GD16301
CG12693	GD16298
CG3626	GD16688
CG12688	GD16689
CG3556	GD16692
CHOp24	GD16693
CG3568	GD16694
Usf	GD16293
CG15912	GD16695
CG11436	GD16292
CG3527	GD16696
CG11444	GD16291
CG3546	GD16698
CG12684	GD16290
mRpL30	GD16700
CG15473	GD27456
CG3009	GD24599
CG7024	GD16703
Proc-R	GD24745
CG15472	GD16276
CG15471	GD16273
CG6978	GD16705
CG2861	GD27665
CG12682	GD16707
boil	GD16709
CG6927	GD16712
CG4041	GD16270
CG6903	GD16714
CG12680	GD16716
Rpn13R	GD27299
CG15465	GD16720
CG5062	GD24597
CG3323	GD24596
CG17764	GD27625
TrxT	GD24594
CG4198	GD28439
CG15930	GD24593
Sas10	GD28504
CG3309	GD16264
SK	GD16728
NAAT1	GD16262
Usp16-45	GD16731
CG16756	GD28235
CG15784	GD16732
SPR	GD16733
frma	GD16259
CG4151	GD16735
CG12730	GD16736
RhoGAP5A	GD16254
Sirt4	GD16246
RpL35	GD16739
PGAP1	GD16243
CG4096	GD16745
CG15773	GD16746
CG4078	GD16747
CG15772	GD16748
lin-52	GD16236
CG15771	GD16749
CG3097	GD16233
CG3108	GD16230
CG15767	GD16753
CG12239	GD16754
Prosbeta2R1	GD16756
CG15766	GD16227
CG15765	GD16757
CG12729	GD16758
CG15764	GD16761
GAA1	GD16225
Usp30	GD28888
CG16721	GD16762
CG4020	GD16765
CG12236	GD16766
Shmt	GD16224
CG3726	GD16767
CG6041	GD16771
CG6048	GD16772
CG6067	GD16773
Grip	GD16775
CG5966	GD16776
MCTS1	GD16778
CG5937	GD16779
CG5921	GD16780
CG5928	GD16782
Tsp5D	GD16218
CG4666	GD16216
CG4660	GD16215
raptor	GD16213
Nep1	GD16783
Btnd	GD16205
Efr	GD16786
CG14445	GD16788
CG3781	GD16790
CG3566	GD16200
wuho	GD16792
mldr	GD16793
CG15892	GD16198
CG15891	GD16197
CG3815	GD24366
CG3823	GD14567
CG15894	GD16795
CG3842	GD28475
CG3847	GD24756
ND-B16.6	GD24589
Marf	GD16797
CG3918	GD16800
CG3342	GD29327
CG17717	GD16805
Pat1	GD16806
APC7	GD16808
CG14443	GD29077
pigs	GD16809
CG3226	GD16188
CG3224	GD16185
CG3198	GD16187
ND-ASHI	GD16186
CG4095	GD29135
Pink1	GD24757
CG3184	GD27297
CG14442	GD24585
CG14440	GD24584
CG14441	GD16813
CG3168	GD16183
RpL17	GD26987
CG14439	GD28880
CG14438	GD16814
pod1	GD29598
Nf-YC	GD27634
xit	GD16816
Atx-1	GD16817
mAChR-C	GD16175
CG14435	GD24583
CG4557	GD27999
Cht11	GD29143
CG4558	GD24760
CG14434	GD24582
CG14431	GD24761
CG4586	GD16824
CG3040	GD16172
CG3032	GD16168
CG4593	GD16830
CG12541	GD16167
CG14427	GD16831
CG4607	AlstR
CG4615	GD16164
CG4617	GD16162
CG8300	GD16834
CG9650	GD16835
CG1958	GD16838
CG1677	GD16158
CG2059	GD24762
